natx =      531
    x       y        z       iph  
      5.41500      3.61000     -5.41500   1      8.46620
     -7.22000     -3.61000      3.61000   1      8.84266
      7.22000     -3.61000     -3.61000   1      8.84266
      7.22000     -3.61000      3.61000   1      8.84266
      3.61000      7.22000      3.61000   1      8.84266
     -3.61000      7.22000     -3.61000   1      8.84266
     -7.22000     -3.61000     -3.61000   1      8.84266
     -7.22000      3.61000      3.61000   1      8.84266
      3.61000     -7.22000      3.61000   1      8.84266
     -7.22000      3.61000     -3.61000   1      8.84266
      3.61000     -7.22000     -3.61000   1      8.84266
      7.22000      3.61000      3.61000   1      8.84266
     -3.61000     -7.22000      3.61000   1      8.84266
     -3.61000     -7.22000     -3.61000   1      8.84266
     -3.61000      7.22000      3.61000   1      8.84266
      3.61000      7.22000     -3.61000   1      8.84266
      3.61000     -3.61000     -7.22000   1      8.84266
      3.61000     -3.61000      7.22000   1      8.84266
     -3.61000      3.61000     -7.22000   1      8.84266
      3.61000      3.61000      7.22000   1      8.84266
     -3.61000     -3.61000      7.22000   1      8.84266
     -3.61000     -3.61000     -7.22000   1      8.84266
     -3.61000      3.61000      7.22000   1      8.84266
      3.61000      3.61000     -7.22000   1      8.84266
      7.22000      3.61000     -3.61000   1      8.84266
      0.00000     -1.80500      9.02500   1      9.20373
      0.00000      1.80500      9.02500   1      9.20373
     -9.02500      0.00000      1.80500   1      9.20373
      1.80500      9.02500      0.00000   1      9.20373
      9.02500      0.00000      1.80500   1      9.20373
      0.00000      9.02500      1.80500   1      9.20373
      1.80500      0.00000     -9.02500   1      9.20373
      9.02500      0.00000     -1.80500   1      9.20373
      0.00000      9.02500     -1.80500   1      9.20373
      0.00000     -9.02500     -1.80500   1      9.20373
     -9.02500     -1.80500      0.00000   1      9.20373
      9.02500      1.80500      0.00000   1      9.20373
     -1.80500     -9.02500      0.00000   1      9.20373
     -9.02500      1.80500      0.00000   1      9.20373
      0.00000      1.80500     -9.02500   1      9.20373
     -1.80500      0.00000     -9.02500   1      9.20373
     -1.80500      0.00000      9.02500   1      9.20373
      9.02500     -1.80500      0.00000   1      9.20373
      1.80500     -9.02500      0.00000   1      9.20373
     -1.80500      9.02500      0.00000   1      9.20373
      0.00000     -1.80500     -9.02500   1      9.20373
     -9.02500      0.00000     -1.80500   1      9.20373
      0.00000     -9.02500      1.80500   1      9.20373
      1.80500      0.00000      9.02500   1      9.20373
      5.41500      7.22000      1.80500   1      9.20373
     -5.41500      7.22000      1.80500   1      9.20373
      1.80500      5.41500      7.22000   1      9.20373
     -7.22000      1.80500      5.41500   1      9.20373
     -7.22000     -5.41500     -1.80500   1      9.20373
      5.41500      7.22000     -1.80500   1      9.20373
      7.22000     -1.80500      5.41500   1      9.20373
      7.22000     -5.41500     -1.80500   1      9.20373
     -5.41500      1.80500      7.22000   1      9.20373
      1.80500     -7.22000     -5.41500   1      9.20373
      7.22000      5.41500     -1.80500   1      9.20373
     -1.80500      7.22000      5.41500   1      9.20373
      5.41500     -7.22000     -1.80500   1      9.20373
      5.41500     -7.22000      1.80500   1      9.20373
      5.41500     -1.80500     -7.22000   1      9.20373
      7.22000      1.80500      5.41500   1      9.20373
     -1.80500      5.41500     -7.22000   1      9.20373
     -7.22000      5.41500      1.80500   1      9.20373
      5.41500     -1.80500      7.22000   1      9.20373
     -1.80500      5.41500      7.22000   1      9.20373
     -5.41500     -1.80500     -7.22000   1      9.20373
     -7.22000      5.41500     -1.80500   1      9.20373
      5.41500      1.80500     -7.22000   1      9.20373
      7.22000     -1.80500     -5.41500   1      9.20373
     -7.22000     -1.80500     -5.41500   1      9.20373
      1.80500      7.22000      5.41500   1      9.20373
     -7.22000     -1.80500      5.41500   1      9.20373
     -5.41500     -7.22000      1.80500   1      9.20373
      1.80500      7.22000     -5.41500   1      9.20373
