# r       w_scrn(r)      v_ch(r)
  1.7471851341E0   9.1318930906E0   3.4102172871E1
  1.7812756527E0   9.0447597006E0   3.3850416106E1
  1.8153661712E0   8.9584994879E0   3.3599634767E1
  1.8494566898E0   8.8731037024E0   3.3349820672E1
  1.8835472084E0   8.7885636814E0   3.3100965734E1
  1.9176377270E0   8.7048708493E0   3.2853061958E1
  1.9517282456E0   8.6220167161E0   3.2606101443E1
  1.9858187642E0   8.5399928773E0   3.2360076379E1
  2.0199092828E0   8.4587910122E0   3.2114979048E1
  2.0539998014E0   8.3784028838E0   3.1870801824E1
  2.0880903199E0   8.2988203374E0   3.1627537168E1
  2.1221808385E0   8.2200353002E0   3.1385177634E1
  2.1562713571E0   8.1420397803E0   3.1143715862E1
  2.1903618757E0   8.0648258657E0   3.0903144582E1
  2.2244523943E0   7.9883857239E0   3.0663456608E1
  2.2585429129E0   7.9127116007E0   3.0424644844E1
  2.2926334315E0   7.8377958198E0   3.0186702280E1
  2.3267239501E0   7.7636307817E0   2.9949621989E1
  2.3608144687E0   7.6902089631E0   2.9713397130E1
  2.3949049872E0   7.6175229161E0   2.9478020948E1
  2.4289955058E0   7.5455652674E0   2.9243486770E1
  2.4630860244E0   7.4743287175E0   2.9009788006E1
  2.4971765430E0   7.4038060404E0   2.8776918149E1
  2.5312670616E0   7.3339900820E0   2.8544870774E1
  2.5653575802E0   7.2648737603E0   2.8313639538E1
  2.5994480988E0   7.1964500642E0   2.8083218177E1
  2.6335386174E0   7.1287120526E0   2.7853600511E1
  2.6676291360E0   7.0616528543E0   2.7624780437E1
  2.7017196545E0   6.9952656667E0   2.7396751933E1
  2.7358101731E0   6.9295437556E0   2.7169509055E1
  2.7699006917E0   6.8644804541E0   2.6943045938E1
  2.8039912103E0   6.8000691621E0   2.6717356796E1
  2.8380817289E0   6.7363033458E0   2.6492435921E1
  2.8721722475E0   6.6731765368E0   2.6268277679E1
  2.9062627661E0   6.6106823314E0   2.6044876518E1
  2.9403532847E0   6.5488143903E0   2.5822226959E1
  2.9744438033E0   6.4875664375E0   2.5600323599E1
  3.0085343218E0   6.4269322601E0   2.5379161115E1
  3.0426248404E0   6.3669057073E0   2.5158734254E1
  3.0767153590E0   6.3074806900E0   2.4939037841E1
  3.1108058776E0   6.2486511802E0   2.4720066778E1
  3.1448963962E0   6.1904112101E0   2.4501816037E1
  3.1789869148E0   6.1327548718E0   2.4284280668E1
  3.2130774334E0   6.0756763168E0   2.4067455793E1
  3.2471679520E0   6.0191697550E0   2.3851336609E1
  3.2812584706E0   5.9632294543E0   2.3635918387E1
  3.3153489891E0   5.9078497401E0   2.3421196469E1
  3.3494395077E0   5.8530249948E0   2.3207166274E1
  3.3835300263E0   5.7987496568E0   2.2993823291E1
  3.4176205449E0   5.7450182205E0   2.2781163083E1
  3.4517110635E0   5.6918252354E0   2.2569181287E1
  3.4858015821E0   5.6391653055E0   2.2357873610E1
  3.5198921007E0   5.5870330891E0   2.2147235834E1
  3.5539826193E0   5.5354232978E0   2.1937263812E1
  3.5880731379E0   5.4843306963E0   2.1727953472E1
  3.6221636564E0   5.4337501018E0   2.1519300812E1
  3.6562541750E0   5.3836763833E0   2.1311301903E1
  3.6903446936E0   5.3341044615E0   2.1103952889E1
  3.7244352122E0   5.2850293077E0   2.0897249987E1
  3.7585257308E0   5.2364459437E0   2.0691189486E1
  3.7926162494E0   5.1883494412E0   2.0485767748E1
