    11.8500    9.840877E-03  1.447336E-02  4.637622E+01
    11.9000    5.539208E-03  1.343775E-02  4.669901E+01
    11.9500    1.289682E-03  1.229534E-02  4.701880E+01
    12.0000   -2.314526E-03  1.107282E-02  4.733447E+01
    12.0500   -4.970286E-03  9.964217E-03  4.764612E+01
    12.1000   -6.473268E-03  8.800869E-03  4.795033E+01
    12.1500   -6.846744E-03  7.607410E-03  4.824368E+01
    12.2000   -6.314133E-03  6.411114E-03  4.852053E+01
    12.2500   -5.228870E-03  5.244162E-03  4.877107E+01
    12.3000   -3.984551E-03  4.149283E-03  4.897741E+01
    12.3500   -2.925909E-03  3.193335E-03  4.910685E+01
    12.4000   -2.279492E-03  2.493477E-03  4.911200E+01
    12.4500   -2.117364E-03  2.215112E-03  4.899287E+01
    12.5000   -2.358965E-03  2.406185E-03  4.889312E+01
    12.5500   -2.807536E-03  2.885565E-03  4.892777E+01
    12.6000   -3.210160E-03  3.457440E-03  4.907519E+01
    12.6500   -3.326043E-03  4.015511E-03  4.928942E+01
    12.7000   -2.986912E-03  4.509902E-03  4.954160E+01
    12.7500   -2.136426E-03  4.916879E-03  4.981599E+01
    12.8000   -8.411101E-04  5.225438E-03  5.010381E+01
    12.8500    7.276471E-04  5.431704E-03  5.039985E+01
    12.9000    2.334428E-03  5.536403E-03  5.070075E+01
    12.9500    3.732619E-03  5.543574E-03  5.100418E+01
    13.0000    4.716496E-03  5.459825E-03  5.130835E+01
    13.0500    5.243315E-03  5.376958E-03  5.161286E+01
    13.1000    5.204716E-03  5.221034E-03  5.191536E+01
    13.1500    4.647070E-03  5.000288E-03  5.221440E+01
    13.2000    3.697057E-03  4.724351E-03  5.250832E+01
    13.2500    2.529980E-03  4.404167E-03  5.279514E+01
    13.3000    1.330956E-03  4.051981E-03  5.307239E+01
    13.3500    2.580780E-04  3.681426E-03  5.333691E+01
    13.4000   -5.845234E-04  3.307722E-03  5.358472E+01
    13.4500   -1.158656E-03  2.947950E-03  5.381101E+01
    13.5000   -1.487906E-03  2.621204E-03  5.401071E+01
    13.5500   -1.639965E-03  2.347960E-03  5.418032E+01
    13.6000   -1.701023E-03  2.147448E-03  5.432134E+01
    13.6500   -1.749157E-03  2.032049E-03  5.444388E+01
    13.7000   -1.833319E-03  2.000856E-03  5.456573E+01
    13.7500   -1.962579E-03  2.038179E-03  5.470465E+01
    13.8000   -2.107375E-03  2.119529E-03  5.487073E+01
    13.8500   -2.211430E-03  2.219927E-03  5.506539E+01
    13.9000   -2.210411E-03  2.318932E-03  5.528501E+01
    13.9500   -2.052029E-03  2.401879E-03  5.552438E+01
    14.0000   -1.712260E-03  2.459228E-03  5.577850E+01
    14.0500   -1.223239E-03  2.527466E-03  5.604347E+01
    14.1000   -5.918580E-04  2.565618E-03  5.631588E+01
    14.1500    1.136613E-04  2.571916E-03  5.659288E+01
    14.2000    8.090476E-04  2.546340E-03  5.687200E+01
    14.2500    1.411020E-03  2.490339E-03  5.715104E+01
    14.3000    1.853611E-03  2.406646E-03  5.742783E+01
    14.3500    2.099981E-03  2.299155E-03  5.770016E+01
    14.4000    2.147176E-03  2.172841E-03  5.796561E+01
    14.4500    2.023136E-03  2.033721E-03  5.822154E+01
    14.5000    1.777159E-03  1.888821E-03  5.846503E+01
    14.5500    1.466540E-03  1.746119E-03  5.869319E+01
    14.6000    1.142907E-03  1.614316E-03  5.890362E+01
    14.6500    8.416221E-04  1.502267E-03  5.909559E+01
    14.7000    5.766616E-04  1.417808E-03  5.927139E+01
    14.7500    3.418550E-04  1.366022E-03  5.943732E+01
    14.8000    1.176828E-04  1.347572E-03  5.960282E+01
    14.8500   -1.185717E-04  1.358206E-03  5.977767E+01
    14.9000   -3.823028E-04  1.389978E-03  5.996889E+01
    14.9500   -6.736657E-04  1.433406E-03  6.017952E+01
    15.0000   -9.744444E-04  1.479381E-03  6.040933E+01
    15.0500   -1.271580E-03  1.546686E-03  6.065541E+01
    15.1000   -1.512617E-03  1.607339E-03  6.091604E+01
    15.1500   -1.652398E-03  1.656739E-03  6.118865E+01
    15.2000   -1.654372E-03  1.691478E-03  6.147090E+01
    15.2500   -1.500170E-03  1.709187E-03  6.176079E+01
    15.3000   -1.195683E-03  1.708399E-03  6.205662E+01
    15.3500   -7.720635E-04  1.688429E-03  6.235693E+01
    15.4000   -2.812554E-04  1.649272E-03  6.266048E+01
    15.4500    2.130432E-04  1.591520E-03  6.296612E+01
    15.5000    6.470469E-04  1.516283E-03  6.327273E+01
    15.5500    9.686163E-04  1.425130E-03  6.357916E+01
    15.6000    1.146504E-03  1.320027E-03  6.388411E+01
    15.6500    1.175149E-03  1.203286E-03  6.418597E+01
    15.7000    1.074096E-03  1.077536E-03  6.448258E+01
    15.7500    8.823202E-04  9.457117E-04  6.477087E+01
    15.8000    6.489064E-04  8.111002E-04  6.504610E+01
    15.8500    4.222564E-04  6.775038E-04  6.530055E+01
    15.9000    2.402756E-04  5.496479E-04  6.552102E+01
    15.9500    1.236417E-04  4.341364E-04  6.568465E+01
    16.0000    7.346764E-05  3.413197E-04  6.575650E+01
    16.0500    7.278172E-05  2.884989E-04  6.571841E+01
    16.1000    9.831436E-05  2.850050E-04  6.562125E+01
    16.1500    1.199841E-04  3.261740E-04  6.559675E+01
    16.2000    1.100099E-04  3.916015E-04  6.568869E+01
    16.2500    4.993926E-05  4.646703E-04  6.586577E+01
    16.3000   -6.476515E-05  5.362101E-04  6.609452E+01
    16.3500   -2.235287E-04  6.013893E-04  6.635427E+01
    16.4000   -4.030036E-04  6.575406E-04  6.663317E+01
    16.4500   -5.722897E-04  7.031529E-04  6.692426E+01
    16.5000   -6.997606E-04  7.374196E-04  6.722328E+01
    16.5500   -7.599153E-04  7.600232E-04  6.752739E+01
    16.6000   -7.387393E-04  7.710212E-04  6.783464E+01
    16.6500   -6.364614E-04  7.707782E-04  6.814353E+01
    16.7000   -4.672287E-04  7.599189E-04  6.845286E+01
    16.7500   -2.559256E-04  7.392911E-04  6.876155E+01
    16.8000   -3.298531E-05  7.099329E-04  6.906856E+01
    16.8500    1.715750E-04  6.730427E-04  6.937281E+01
    16.9000    3.335716E-04  6.299518E-04  6.967307E+01
    16.9500    4.384208E-04  5.820981E-04  6.996791E+01
    17.0000    4.826033E-04  5.310033E-04  7.025556E+01
    17.0500    4.820609E-04  4.874995E-04  7.053632E+01
    17.1000    4.392057E-04  4.423681E-04  7.080548E+01
    17.1500    3.697369E-04  3.971394E-04  7.105949E+01
    17.2000    2.901357E-04  3.535205E-04  7.129399E+01
    17.2500    2.142197E-04  3.134205E-04  7.150410E+01
    17.3000    1.507582E-04  2.789254E-04  7.168560E+01
    17.3500    1.025628E-04  2.521165E-04  7.183767E+01
    17.4000    6.709605E-05  2.346010E-04  7.196658E+01
    17.4500    3.828363E-05  2.268183E-04  7.208703E+01
    17.5000    8.968625E-06  2.276158E-04  7.221722E+01
