# # Cu_crystal                                                   FEFF 9.05   
# # POT  SCF  30  5.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.449 Rnm= 1.502 K  shell
# # Pot 1 Z=29 Rmt= 1.356 Rnm= 1.393
# # Gam_ch=1.729E+00 H-L exch
# # Mu=-8.092E+00 kf=1.979E+00 Vint=-1.699E+01 Rs_int= 1.833
# # PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 190.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00610    100.00     12.00     2   2.5527
#           2       0.00748     22.75      6.00     2   3.6100
#           3       0.00687     10.29     48.00     3   3.8290
#           4       0.00757      7.06     48.00     3   4.3577
#           5       0.00767     54.81     24.00     2   4.4213
#           6       0.00772     10.83     48.00     3   4.7633
#           7       0.00772     16.53     96.00     3   4.7633
#     7/   7 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     2.4000    7.596957E-02  1.187062E-01  2.447121E+00
     2.4500    5.612367E-02  1.195405E-01  2.652874E+00
     2.5000    3.130246E-02  1.183900E-01  2.874010E+00
     2.5500    3.728379E-03  1.148991E-01  3.109138E+00
     2.6000   -2.331953E-02  1.088367E-01  3.357529E+00
     2.6500   -4.670971E-02  1.058939E-01  3.598416E+00
     2.7000   -6.589772E-02  1.016982E-01  3.846513E+00
     2.7500   -7.883712E-02  9.623370E-02  4.101652E+00
     2.8000   -8.414674E-02  8.952309E-02  4.364060E+00
     2.8500   -8.467754E-02  8.480234E-02  4.658130E+00
     2.9000   -7.704913E-02  7.944030E-02  4.958367E+00
     2.9500   -6.252690E-02  7.349487E-02  5.265745E+00
     3.0000   -4.325839E-02  6.704227E-02  5.581847E+00
     3.0500   -2.140909E-02  6.405606E-02  5.942403E+00
     3.1000    1.387730E-03  6.090710E-02  6.305972E+00
     3.1500    2.189550E-02  5.761672E-02  6.673003E+00
     3.2000    3.738073E-02  5.420990E-02  7.044060E+00
     3.2500    5.038855E-02  5.555567E-02  7.419271E+00
     3.3000    5.646745E-02  5.659100E-02  7.787892E+00
     3.3500    5.479331E-02  5.729239E-02  8.150429E+00
     3.4000    4.578137E-02  5.765114E-02  8.507236E+00
     3.4500    3.358953E-02  6.002586E-02  8.830894E+00
     3.5000    1.684424E-02  6.168276E-02  9.148186E+00
     3.5500   -2.092520E-03  6.269108E-02  9.458162E+00
     3.6000   -2.078351E-02  6.315693E-02  9.760104E+00
     3.6500   -3.683352E-02  6.373552E-02  1.004095E+01
     3.7000   -4.936915E-02  6.346488E-02  1.031609E+01
     3.7500   -5.716644E-02  6.240225E-02  1.058301E+01
     3.8000   -5.992426E-02  6.066801E-02  1.083883E+01
     3.8500   -5.831622E-02  5.855774E-02  1.108643E+01
     3.9000   -5.290256E-02  5.584969E-02  1.132189E+01
     3.9500   -4.505407E-02  5.270846E-02  1.154125E+01
     4.0000   -3.631676E-02  4.936811E-02  1.173977E+01
     4.0500   -2.738670E-02  4.574177E-02  1.192446E+01
     4.1000   -1.974742E-02  4.234048E-02  1.208116E+01
     4.1500   -1.396165E-02  3.957165E-02  1.220579E+01
     4.2000   -9.979254E-03  3.790549E-02  1.229996E+01
     4.2500   -6.742781E-03  3.708729E-02  1.238355E+01
     4.3000   -3.990733E-03  3.783383E-02  1.246069E+01
     4.3500   -6.367744E-04  4.015083E-02  1.255051E+01
     4.4000    4.363200E-03  4.380347E-02  1.266614E+01
     4.4500    1.143062E-02  4.781834E-02  1.280775E+01
     4.5000    2.082638E-02  5.247610E-02  1.297448E+01
     4.5500    3.228460E-02  5.748070E-02  1.316276E+01
     4.6000    4.497832E-02  6.258367E-02  1.336829E+01
     4.6500    5.710915E-02  6.708969E-02  1.358471E+01
     4.7000    6.760390E-02  7.136828E-02  1.381093E+01
     4.7500    7.497086E-02  7.529406E-02  1.404448E+01
     4.8000    7.792669E-02  7.876630E-02  1.428331E+01
     4.8500    7.535435E-02  8.132596E-02  1.452277E+01
     4.9000    6.746954E-02  8.333477E-02  1.476446E+01
     4.9500    5.465818E-02  8.475731E-02  1.500710E+01
     5.0000    3.787352E-02  8.557613E-02  1.524950E+01
     5.0500    1.859120E-02  8.558727E-02  1.548900E+01
     5.1000   -1.541569E-03  8.506029E-02  1.572609E+01
     5.1500   -2.092492E-02  8.403721E-02  1.595961E+01
     5.2000   -3.816155E-02  8.258113E-02  1.618834E+01
     5.2500   -5.211002E-02  8.061987E-02  1.641078E+01
     5.3000   -6.234029E-02  7.846541E-02  1.662614E+01
     5.3500   -6.880923E-02  7.625007E-02  1.683331E+01
     5.4000   -7.187286E-02  7.412892E-02  1.703141E+01
     5.4500   -7.199273E-02  7.211757E-02  1.721991E+01
     5.5000   -7.005993E-02  7.057547E-02  1.739970E+01
     5.5500   -6.668736E-02  6.966650E-02  1.757226E+01
     5.6000   -6.225700E-02  6.952598E-02  1.774012E+01
     5.6500   -5.673953E-02  7.014852E-02  1.790736E+01
     5.7000   -4.998901E-02  7.164113E-02  1.807728E+01
     5.7500   -4.154012E-02  7.395259E-02  1.825310E+01
     5.8000   -3.085060E-02  7.697999E-02  1.843721E+01
     5.8500   -1.737119E-02  8.045872E-02  1.863194E+01
     5.9000   -1.075322E-03  8.433862E-02  1.883681E+01
     5.9500    1.773495E-02  8.846046E-02  1.905141E+01
     6.0000    3.824501E-02  9.267510E-02  1.927495E+01
     6.0500    5.912021E-02  9.659352E-02  1.950821E+01
     6.1000    7.851776E-02  1.003163E-01  1.974855E+01
     6.1500    9.449460E-02  1.037410E-01  1.999494E+01
     6.2000    1.051715E-01  1.067820E-01  2.024645E+01
     6.2500    1.090025E-01  1.093690E-01  2.050225E+01
     6.3000    1.050191E-01  1.114453E-01  2.076160E+01
     6.3500    9.300924E-02  1.129664E-01  2.102389E+01
     6.4000    7.360269E-02  1.138990E-01  2.128854E+01
     6.4500    4.824504E-02  1.142198E-01  2.155507E+01
     6.5000    1.906149E-02  1.139151E-01  2.182303E+01
     6.5500   -1.161170E-02  1.126926E-01  2.209437E+01
     6.6000   -4.061880E-02  1.108331E-01  2.236638E+01
     6.6500   -6.535864E-02  1.083545E-01  2.263865E+01
     6.7000   -8.373798E-02  1.052818E-01  2.291077E+01
     6.7500   -9.440932E-02  1.016467E-01  2.318231E+01
     6.8000   -9.690714E-02  9.748737E-02  2.345279E+01
     6.8500   -9.166591E-02  9.284765E-02  2.372166E+01
     6.9000   -7.992029E-02  8.777739E-02  2.398828E+01
     6.9500   -6.350481E-02  8.233233E-02  2.425182E+01
     7.0000   -4.458421E-02  7.657470E-02  2.451127E+01
     7.0500   -2.520444E-02  7.054237E-02  2.476737E+01
     7.1000   -7.481807E-03  6.435238E-02  2.501621E+01
     7.1500    7.105053E-03  5.809883E-02  2.525534E+01
     7.2000    1.772605E-02  5.189350E-02  2.548134E+01
     7.2500    2.424236E-02  4.587477E-02  2.568951E+01
     7.3000    2.714291E-02  4.022158E-02  2.587348E+01
     7.3500    2.739025E-02  3.517225E-02  2.602541E+01
     7.4000    2.620432E-02  3.103974E-02  2.613785E+01
     7.4500    2.482076E-02  2.819251E-02  2.620945E+01
     7.5000    2.426305E-02  2.694718E-02  2.625341E+01
     7.5500    2.520936E-02  2.741183E-02  2.629994E+01
     7.6000    2.773948E-02  2.930245E-02  2.637545E+01
     7.6500    3.147025E-02  3.218762E-02  2.649202E+01
     7.7000    3.558829E-02  3.564389E-02  2.664768E+01
     7.7500    3.900495E-02  3.934383E-02  2.683488E+01
     7.8000    4.055908E-02  4.305771E-02  2.704588E+01
     7.8500    3.923384E-02  4.662854E-02  2.727444E+01
     7.9000    3.435194E-02  4.994858E-02  2.751595E+01
     7.9500    2.571804E-02  5.294301E-02  2.776709E+01
     8.0000    1.368551E-02  5.555959E-02  2.802545E+01
     8.0500   -9.595666E-04  5.781582E-02  2.829093E+01
     8.1000   -1.683317E-02  5.963743E-02  2.856048E+01
     8.1500   -3.234342E-02  6.101026E-02  2.883309E+01
     8.2000   -4.584977E-02  6.192809E-02  2.910796E+01
     8.2500   -5.588676E-02  6.239152E-02  2.938443E+01
     8.3000   -6.136327E-02  6.240718E-02  2.966197E+01
     8.3500   -6.170795E-02  6.198711E-02  2.994007E+01
     8.4000   -5.694007E-02  6.114836E-02  3.021829E+01
     8.4500   -4.765711E-02  5.991257E-02  3.049619E+01
     8.5000   -3.494260E-02  5.830575E-02  3.077330E+01
     8.5500   -2.023502E-02  5.647579E-02  3.104949E+01
     8.6000   -4.999692E-03  5.434373E-02  3.132379E+01
     8.6500    9.284548E-03  5.194556E-02  3.159563E+01
     8.7000    2.137967E-02  4.932102E-02  3.186428E+01
     8.7500    3.042377E-02  4.651367E-02  3.212890E+01
     8.8000    3.600348E-02  4.357118E-02  3.238846E+01
     8.8500    3.815657E-02  4.054575E-02  3.264172E+01
     8.9000    3.730910E-02  3.749472E-02  3.288718E+01
     8.9500    3.416156E-02  3.448142E-02  3.312304E+01
     9.0000    2.954582E-02  3.157591E-02  3.334726E+01
     9.0500    2.438468E-02  2.900012E-02  3.355867E+01
     9.1000    1.917765E-02  2.667296E-02  3.375517E+01
     9.1500    1.437069E-02  2.467689E-02  3.393590E+01
     9.2000    1.016230E-02  2.308932E-02  3.410178E+01
     9.2500    6.517780E-03  2.196863E-02  3.425630E+01
     9.3000    3.228531E-03  2.133760E-02  3.440563E+01
     9.3500    2.269366E-06  2.117195E-02  3.455741E+01
     9.4000   -3.435010E-03  2.140201E-02  3.471872E+01
     9.4500   -7.246417E-03  2.192787E-02  3.489432E+01
     9.5000   -1.141966E-02  2.263952E-02  3.508622E+01
     9.5500   -1.577677E-02  2.348596E-02  3.529409E+01
     9.6000   -1.992159E-02  2.435069E-02  3.551564E+01
     9.6500   -2.338099E-02  2.516719E-02  3.574929E+01
     9.7000   -2.564545E-02  2.588094E-02  3.599331E+01
     9.7500   -2.626580E-02  2.644877E-02  3.624601E+01
     9.8000   -2.494820E-02  2.683803E-02  3.650583E+01
     9.8500   -2.162759E-02  2.702556E-02  3.677138E+01
     9.9000   -1.650328E-02  2.699688E-02  3.704141E+01
     9.9500   -1.002748E-02  2.674546E-02  3.731480E+01
    10.0000   -2.847164E-03  2.627204E-02  3.759053E+01
    10.0500    4.298255E-03  2.579997E-02  3.786649E+01
    10.1000    1.080216E-02  2.514359E-02  3.814318E+01
    10.1500    1.604640E-02  2.431231E-02  3.841995E+01
    10.2000    1.958344E-02  2.331823E-02  3.869609E+01
    10.2500    2.119157E-02  2.217591E-02  3.897084E+01
    10.3000    2.089499E-02  2.090238E-02  3.924330E+01
    10.3500    1.894634E-02  1.951714E-02  3.951235E+01
    10.4000    1.577547E-02  1.804232E-02  3.977659E+01
    10.4500    1.191365E-02  1.650308E-02  4.003415E+01
    10.5000    7.906271E-03  1.492828E-02  4.028256E+01
    10.5500    4.229152E-03  1.335165E-02  4.051840E+01
    10.6000    1.221992E-03  1.181379E-02  4.073708E+01
    10.6500   -9.502664E-04  1.036501E-02  4.093251E+01
    10.7000   -2.302840E-03  9.068969E-03  4.109744E+01
    10.7500   -3.003892E-03  8.004403E-03  4.122540E+01
    10.8000   -3.321182E-03  7.257857E-03  4.131600E+01
    10.8500   -3.553636E-03  6.896614E-03  4.138203E+01
    10.9000   -3.961365E-03  6.927934E-03  4.144940E+01
    10.9500   -4.707611E-03  7.283846E-03  4.154344E+01
    11.0000   -5.823490E-03  7.853963E-03  4.167597E+01
    11.0500   -7.269578E-03  8.610394E-03  4.184592E+01
    11.1000   -8.793547E-03  9.417745E-03  4.204537E+01
    11.1500   -1.011569E-02  1.022127E-02  4.226764E+01
    11.2000   -1.093222E-02  1.098234E-02  4.250708E+01
    11.2500   -1.097481E-02  1.167393E-02  4.275933E+01
    11.3000   -1.006518E-02  1.227723E-02  4.302119E+01
    11.3500   -8.154647E-03  1.277940E-02  4.329026E+01
    11.4000   -5.341622E-03  1.317212E-02  4.356474E+01
    11.4500   -1.863766E-03  1.345063E-02  4.384329E+01
    11.5000    1.933577E-03  1.361312E-02  4.412482E+01
    11.5500    5.647074E-03  1.366024E-02  4.440848E+01
    11.6000    8.874462E-03  1.359479E-02  4.469355E+01
    11.6500    1.127287E-02  1.342145E-02  4.497942E+01
    11.7000    1.260670E-02  1.314650E-02  4.526554E+01
    11.7500    1.277761E-02  1.277763E-02  4.555137E+01
    11.8000    1.183243E-02  1.232374E-02  4.583641E+01
    11.8500    9.948800E-03  1.179473E-02  4.612013E+01
    11.9000    7.402161E-03  1.120133E-02  4.640197E+01
    11.9500    4.520595E-03  1.055493E-02  4.668129E+01
    12.0000    1.635532E-03  9.867428E-03  4.695737E+01
    12.0500   -9.880331E-04  9.306225E-03  4.723026E+01
    12.1000   -3.190848E-03  8.718099E-03  4.749860E+01
    12.1500   -4.828690E-03  8.113117E-03  4.776137E+01
    12.2000   -5.845744E-03  7.501863E-03  4.801734E+01
    12.2500   -6.268844E-03  6.895473E-03  4.826507E+01
    12.3000   -6.190038E-03  6.305688E-03  4.850287E+01
    12.3500   -5.741532E-03  5.744891E-03  4.872889E+01
    12.4000   -5.067987E-03  5.226042E-03  4.894125E+01
    12.4500   -4.301089E-03  4.762361E-03  4.913845E+01
    12.5000   -3.540478E-03  4.366534E-03  4.931993E+01
    12.5500   -2.843576E-03  4.049181E-03  4.948692E+01
    12.6000   -2.225073E-03  3.816637E-03  4.964307E+01
    12.6500   -1.664976E-03  3.668677E-03  4.979442E+01
    12.7000   -1.122722E-03  3.597431E-03  4.994809E+01
    12.7500   -5.539047E-04  3.588462E-03  5.011051E+01
    12.8000    7.397726E-05  3.623640E-03  5.028590E+01
    12.8500    7.698803E-04  3.684412E-03  5.047599E+01
    12.9000    1.513781E-03  3.754167E-03  5.068052E+01
    12.9500    2.258188E-03  3.819372E-03  5.089809E+01
    13.0000    2.935946E-03  3.869771E-03  5.112678E+01
    13.0500    3.520902E-03  3.952556E-03  5.136457E+01
    13.1000    3.912158E-03  4.015237E-03  5.160920E+01
    13.1500    4.053706E-03  4.054771E-03  5.185919E+01
    13.2000    3.914321E-03  4.069417E-03  5.211325E+01
    13.2500    3.493505E-03  4.058498E-03  5.237026E+01
    13.3000    2.822562E-03  4.022199E-03  5.262923E+01
    13.3500    1.960740E-03  3.961419E-03  5.288929E+01
    13.4000    9.872855E-04  3.877644E-03  5.314963E+01
    13.4500   -9.184286E-06  3.772845E-03  5.340951E+01
    13.5000   -9.421426E-04  3.649397E-03  5.366820E+01
    13.5500   -1.737643E-03  3.510008E-03  5.392497E+01
    13.6000   -2.342279E-03  3.357657E-03  5.417911E+01
    13.6500   -2.727589E-03  3.195540E-03  5.442986E+01
    13.7000   -2.890556E-03  3.027022E-03  5.467646E+01
    13.7500   -2.850491E-03  2.855586E-03  5.491812E+01
    13.8000   -2.643190E-03  2.684772E-03  5.515410E+01
    13.8500   -2.313586E-03  2.518105E-03  5.538369E+01
    13.9000   -1.908264E-03  2.359006E-03  5.560634E+01
    13.9500   -1.469080E-03  2.210653E-03  5.582178E+01
    14.0000   -1.028809E-03  2.075814E-03  5.603012E+01
    14.0500   -6.153629E-04  1.987470E-03  5.623387E+01
    14.1000   -2.220160E-04  1.913913E-03  5.643240E+01
    14.1500    1.458013E-04  1.856209E-03  5.662730E+01
    14.2000    4.872782E-04  1.814548E-03  5.682054E+01
    14.2500    8.029423E-04  1.788190E-03  5.701434E+01
    14.3000    1.091604E-03  1.775539E-03  5.721080E+01
    14.3500    1.348170E-03  1.774323E-03  5.741171E+01
    14.4000    1.562765E-03  1.781845E-03  5.761835E+01
    14.4500    1.721318E-03  1.795244E-03  5.783149E+01
    14.5000    1.807514E-03  1.811708E-03  5.805140E+01
    14.5500    1.805709E-03  1.828640E-03  5.827799E+01
    14.6000    1.704286E-03  1.843743E-03  5.851090E+01
    14.6500    1.498783E-03  1.855070E-03  5.874962E+01
    14.7000    1.194220E-03  1.861030E-03  5.899355E+01
    14.7500    8.061234E-04  1.860371E-03  5.924209E+01
    14.8000    3.599972E-04  1.852159E-03  5.949465E+01
    14.8500   -1.107737E-04  1.835747E-03  5.975064E+01
    14.9000   -5.683375E-04  1.810750E-03  6.000953E+01
    14.9500   -9.746429E-04  1.777015E-03  6.027080E+01
    15.0000   -1.295943E-03  1.734601E-03  6.053397E+01
    15.0500   -1.533789E-03  1.713602E-03  6.079884E+01
    15.1000   -1.652811E-03  1.685111E-03  6.106495E+01
    15.1500   -1.645150E-03  1.649286E-03  6.133189E+01
    15.2000   -1.515379E-03  1.606394E-03  6.159929E+01
    15.2500   -1.279875E-03  1.556807E-03  6.186674E+01
    15.3000   -9.647289E-04  1.500993E-03  6.213380E+01
    15.3500   -6.024980E-04  1.439515E-03  6.240001E+01
    15.4000   -2.282324E-04  1.373029E-03  6.266485E+01
    15.4500    1.246549E-04  1.302282E-03  6.292772E+01
    15.5000    4.281118E-04  1.228111E-03  6.318792E+01
    15.5500    6.622606E-04  1.151444E-03  6.344465E+01
    15.6000    8.169433E-04  1.073303E-03  6.369694E+01
    15.6500    8.918417E-04  9.948077E-04  6.394365E+01
    15.7000    8.952357E-04  9.171777E-04  6.418347E+01
    15.7500    8.416743E-04  8.417374E-04  6.441489E+01
    15.8000    7.489939E-04  7.699125E-04  6.463629E+01
    15.8500    6.352047E-04  7.032115E-04  6.484607E+01
    15.9000    5.157645E-04  6.431755E-04  6.504297E+01
    15.9500    4.016641E-04  5.912716E-04  6.522661E+01
    16.0000    2.985875E-04  5.487109E-04  6.539806E+01
    16.0500    2.091348E-04  5.232798E-04  6.556230E+01
    16.1000    1.266245E-04  5.073672E-04  6.572121E+01
    16.1500    4.649435E-05  5.007498E-04  6.588046E+01
    16.2000   -3.628944E-05  5.024115E-04  6.604574E+01
    16.2500   -1.253658E-04  5.107213E-04  6.622145E+01
    16.3000   -2.214870E-04  5.237334E-04  6.641009E+01
    16.3500   -3.216991E-04  5.394774E-04  6.661235E+01
    16.4000   -4.193640E-04  5.561588E-04  6.682763E+01
    16.4500   -5.050227E-04  5.722558E-04  6.705462E+01
    16.5000   -5.679429E-04  5.865425E-04  6.729174E+01
    16.5500   -5.980589E-04  5.980730E-04  6.753737E+01
    16.6000   -5.879322E-04  6.061501E-04  6.779003E+01
    16.6500   -5.343607E-04  6.102919E-04  6.804840E+01
    16.7000   -4.393207E-04  6.102010E-04  6.831129E+01
    16.7500   -3.100561E-04  6.057398E-04  6.857769E+01
    16.8000   -1.582821E-04  5.969086E-04  6.884666E+01
    16.8500    1.364010E-06  5.838284E-04  6.911737E+01
    16.9000    1.533547E-04  5.667257E-04  6.938905E+01
    16.9500    2.834329E-04  5.459192E-04  6.966094E+01
    17.0000    3.805300E-04  5.218080E-04  6.993227E+01
    17.0500    4.469148E-04  5.045869E-04  7.020305E+01
    17.1000    4.737228E-04  4.847664E-04  7.047197E+01
    17.1500    4.620929E-04  4.627273E-04  7.073820E+01
    17.2000    4.173118E-04  4.389039E-04  7.100081E+01
    17.2500    3.477114E-04  4.137805E-04  7.125874E+01
    17.3000    2.632031E-04  3.878894E-04  7.151084E+01
    17.3500    1.737168E-04  3.618081E-04  7.175582E+01
    17.4000    8.781620E-05  3.361550E-04  7.199233E+01
    17.4500    1.171359E-05  3.115805E-04  7.221903E+01
    17.5000   -5.118219E-05  2.887502E-04  7.243483E+01
    17.5500   -1.001569E-04  2.683121E-04  7.263918E+01
    17.6000   -1.366029E-04  2.508431E-04  7.283251E+01
    17.6500   -1.631201E-04  2.367739E-04  7.301664E+01
    17.7000   -1.825201E-04  2.263036E-04  7.319489E+01
    17.7500   -1.969550E-04  2.193353E-04  7.337175E+01
    17.8000   -2.073482E-04  2.154661E-04  7.355206E+01
    17.8500   -2.132282E-04  2.140468E-04  7.373994E+01
    17.9000   -2.129775E-04  2.142905E-04  7.393818E+01
    17.9500   -2.044127E-04  2.153878E-04  7.414803E+01
    18.0000   -1.855461E-04  2.165959E-04  7.436949E+01
    18.0500   -1.586511E-04  2.219224E-04  7.460175E+01
    18.1000   -1.194089E-04  2.267635E-04  7.484365E+01
    18.1500   -6.914026E-05  2.307342E-04  7.509389E+01
    18.2000   -1.098389E-05  2.335396E-04  7.535117E+01
    18.2500    5.036913E-05  2.349662E-04  7.561427E+01
    18.3000    1.092581E-04  2.348722E-04  7.588206E+01
    18.3500    1.598511E-04  2.331786E-04  7.615356E+01
    18.4000    1.970149E-04  2.298617E-04  7.642784E+01
    18.4500    2.170969E-04  2.249454E-04  7.670408E+01
    18.5000    2.184787E-04  2.184957E-04  7.698150E+01
    18.5500    2.018021E-04  2.106151E-04  7.725933E+01
    18.6000    1.698324E-04  2.014382E-04  7.753680E+01
    18.6500    1.269891E-04  1.911270E-04  7.781310E+01
    18.7000    7.863550E-05  1.798675E-04  7.808735E+01
    18.7500    3.025902E-05  1.678661E-04  7.835857E+01
    18.8000   -1.331166E-05  1.553467E-04  7.862561E+01
    18.8500   -4.851986E-05  1.425480E-04  7.888713E+01
    18.9000   -7.343025E-05  1.297215E-04  7.914154E+01
    18.9500   -8.777421E-05  1.171296E-04  7.938694E+01
    19.0000   -9.271072E-05  1.050431E-04  7.962117E+01
    19.0500   -9.237846E-05  9.574601E-05  7.984461E+01
    19.1000   -8.699470E-05  8.714272E-05  8.005232E+01
    19.1500   -7.885036E-05  7.953936E-05  8.024233E+01
    19.2000   -6.989212E-05  7.324062E-05  8.041416E+01
    19.2500   -6.140061E-05  6.850584E-05  8.057009E+01
    19.3000   -5.384699E-05  6.548385E-05  8.071598E+01
    19.3500   -4.694139E-05  6.415170E-05  8.086056E+01
    19.4000   -3.984829E-05  6.429841E-05  8.101300E+01
    19.4500   -3.151159E-05  6.557314E-05  8.118012E+01
    19.5000   -2.101345E-05  6.756962E-05  8.136517E+01
    19.5500   -7.887739E-06  6.990075E-05  8.156833E+01
    19.6000    7.678007E-06  7.223999E-05  8.178789E+01
    19.6500    2.479253E-05  7.433320E-05  8.202146E+01
    19.7000    4.197041E-05  7.599434E-05  8.226651E+01
    19.7500    5.737591E-05  7.709526E-05  8.252078E+01
    19.8000    6.914914E-05  7.755519E-05  8.278230E+01
    19.8500    7.574734E-05  7.733159E-05  8.304944E+01
    19.9000    7.623313E-05  7.641290E-05  8.332081E+01
    19.9500    7.045378E-05  7.481278E-05  8.359525E+01
    20.0000    5.907931E-05  7.256554E-05  8.387174E+01
