 Temperature (Hatree) = 0
 Electronic Temperature (eV) = 0
 xloss =   0.86458999999999986       eV
 efermi =   -7.7295476900000004       eV
 Number of poles = 0
 Omega(Hart)    Re CCHI     Im CCHI   1-Fermi   Re xmu0    Im xmu0
  -0.2467015106E+000  -0.3654103062E-005   0.2882987926E-004   0.2243570370E+000  -0.1628700000E-004   0.1285000000E-003
  -0.2308148762E+000  -0.2789420732E-005   0.2200777087E-004   0.1712666994E+000  -0.1628700000E-004   0.1285000000E-003
  -0.2149282418E+000  -0.2233581415E-005   0.1762234984E-004   0.1371389093E+000  -0.1628700000E-004   0.1285000000E-003
  -0.1990416074E+000  -0.1854249118E-005   0.1462952119E-004   0.1138484139E+000  -0.1628700000E-004   0.1285000000E-003
  -0.1831549730E+000  -0.1581554135E-005   0.1247803195E-004   0.9710530700E-001  -0.1628700000E-004   0.1285000000E-003
  -0.1672683386E+000  -0.1377111935E-005   0.1086503860E-004   0.8455282958E-001  -0.1628700000E-004   0.1285000000E-003
  -0.1513817042E+000  -0.1218602759E-005   0.9614444311E-005   0.7482057829E-001  -0.1628700000E-004   0.1285000000E-003
  -0.1354950698E+000  -0.1092328471E-005   0.8618174531E-005   0.6706750608E-001  -0.1628700000E-004   0.1285000000E-003
  -0.1196084354E+000  -0.9894769570E-006   0.7806704056E-005   0.6075256075E-001  -0.1628700000E-004   0.1285000000E-003
  -0.1037218010E+000  -0.9041469279E-006   0.7133473337E-005   0.5551341118E-001  -0.1628700000E-004   0.1285000000E-003
  -0.8783516656E-001  -0.8322489383E-006   0.6566217755E-005   0.5109897086E-001  -0.1628700000E-004   0.1285000000E-003
  -0.7194853215E-001  -0.7708650230E-006   0.6081915359E-005   0.4733008062E-001  -0.1628700000E-004   0.1285000000E-003
  -0.5606189774E-001  -0.7178600312E-006   0.5663720391E-005   0.4407564507E-001  -0.1628700000E-004   0.1285000000E-003
  -0.4017526333E-001  -0.6716371206E-006   0.5299034199E-005   0.4123762022E-001  -0.1628700000E-004   0.1285000000E-003
  -0.2428862893E-001  -0.6309790196E-006   0.4978252841E-005   0.3874126725E-001  -0.1628700000E-004   0.1285000000E-003
  -0.8401994517E-002  -0.5949420723E-006   0.4693931128E-005   0.3652864691E-001  -0.1628700000E-004   0.1285000000E-003
   0.7484639891E-002  -0.5627837524E-006   0.4440210732E-005   0.3455416912E-001  -0.1628700000E-004   0.1285000000E-003
