natx =     1000
    x       y        z       iph  
     -4.24352     -1.47000     -9.08250   1     10.13214
      0.84870      4.41000     -9.08250   1     10.13214
     -4.24352      1.47000     -9.08250   1     10.13214
      0.84870      4.41000      9.08250   1     10.13214
      3.39482     -2.94000     -9.08250   1     10.13214
      3.39482     -2.94000      9.08250   1     10.13214
     -4.24352     -1.47000      9.08250   1     10.13214
      3.39482      2.94000     -9.08250   1     10.13214
      3.39482      2.94000      9.08250   1     10.13214
     -5.09223      8.82000      0.00000   3     10.18446
      5.09223     -8.82000      0.00000   3     10.18446
     -0.84870      1.47000    -10.09167   2     10.23342
     -0.84870      1.47000     10.09167   2     10.23342
     -0.84870     -1.47000     10.09167   2     10.23342
      1.69741      0.00000    -10.09167   2     10.23342
      1.69741      0.00000     10.09167   2     10.23342
     -0.84870     -1.47000    -10.09167   2     10.23342
      4.24352     -7.35000      6.05500   3     10.42559
      4.24352     -7.35000     -6.05500   3     10.42559
      1.69741     -2.94000    -10.09167   2     10.64737
     -3.39482      0.00000    -10.09167   2     10.64737
      1.69741     -2.94000     10.09167   2     10.64737
      1.69741      2.94000    -10.09167   2     10.64737
      1.69741      2.94000     10.09167   2     10.64737
     -3.39482      0.00000     10.09167   2     10.64737
      6.78964     -5.88000      6.05500   3     10.83220
      6.78964     -5.88000     -6.05500   3     10.83220
     -1.69741      5.88000     -9.08250   1     10.95205
     -1.69741      5.88000      9.08250   1     10.95205
     -4.24352      4.41000     -9.08250   1     10.95205
     -4.24352      4.41000      9.08250   1     10.95205
      5.94093     -1.47000     -9.08250   1     10.95205
      5.94093     -1.47000      9.08250   1     10.95205
      5.94093      1.47000     -9.08250   1     10.95205
      5.94093      1.47000      9.08250   1     10.95205
     -5.09223      8.82000     -4.03667   2     10.95527
      5.09223     -8.82000     -4.03667   2     10.95527
     -5.09223      8.82000      4.03667   2     10.95527
      5.09223     -8.82000      4.03667   2     10.95527
     -0.84870      4.41000    -10.09167   2     11.04582
     -3.39482      2.94000     10.09167   2     11.04582
     -0.84870      4.41000     10.09167   2     11.04582
     -0.84870     -4.41000     10.09167   2     11.04582
     -3.39482     -2.94000     10.09167   2     11.04582
     -0.84870     -4.41000    -10.09167   2     11.04582
     -3.39482      2.94000    -10.09167   2     11.04582
      4.24352     -1.47000    -10.09167   2     11.04582
      4.24352     -1.47000     10.09167   2     11.04582
      4.24352      1.47000    -10.09167   2     11.04582
      4.24352      1.47000     10.09167   2     11.04582
     -3.39482     -2.94000    -10.09167   2     11.04582
     -2.54611      7.35000     -8.07333   2     11.21088
      2.54611     -7.35000     -8.07333   2     11.21088
      5.09223     -5.88000     -8.07333   2     11.21088
     -5.09223      5.88000     -8.07333   2     11.21088
     -2.54611      7.35000      8.07333   2     11.21088
      2.54611     -7.35000      8.07333   2     11.21088
     -5.09223      5.88000      8.07333   2     11.21088
      5.09223     -5.88000      8.07333   2     11.21088
     -3.39482      8.82000      6.05500   3     11.22409
     -3.39482      8.82000     -6.05500   3     11.22409
      6.78964     -8.82000     -2.01833   2     11.31217
      6.78964     -8.82000      2.01833   2     11.31217
      3.39482     -5.88000     -9.08250   1     11.33980
      3.39482     -5.88000      9.08250   1     11.33980
      3.39482      5.88000     -9.08250   1     11.33980
      3.39482      5.88000      9.08250   1     11.33980
     -4.24352     10.29000     -3.02750   1     11.53505
     -4.24352     10.29000      3.02750   1     11.53505
      0.84870      7.35000     -9.08250   1     11.71472
      0.84870      7.35000      9.08250   1     11.71472
      5.94093     -4.41000     -9.08250   1     11.71472
      5.94093     -4.41000      9.08250   1     11.71472
      5.94093      4.41000     -9.08250   1     11.71472
      5.94093      4.41000      9.08250   1     11.71472
      1.69741     -5.88000    -10.09167   2     11.80243
      1.69741     -5.88000     10.09167   2     11.80243
      1.69741      5.88000    -10.09167   2     11.80243
      1.69741      5.88000     10.09167   2     11.80243
      4.24352     -4.41000    -10.09167   2     11.80243
      4.24352     -4.41000     10.09167   2     11.80243
      4.24352      4.41000    -10.09167   2     11.80243
      4.24352      4.41000     10.09167   2     11.80243
      0.00000      0.00000    -12.11000   3     12.11000
      0.00000      0.00000     12.11000   3     12.11000
     -3.39482      5.88000    -10.09167   2     12.16310
     -3.39482      5.88000     10.09167   2     12.16310
      6.78964      0.00000    -10.09167   2     12.16310
      6.78964      0.00000     10.09167   2     12.16310
     -4.24352      7.35000      9.08250   1     12.43068
     -4.24352      7.35000     -9.08250   1     12.43068
      0.00000     -2.94000    -12.11000   3     12.46177
      0.00000     -2.94000     12.11000   3     12.46177
      0.00000      2.94000    -12.11000   3     12.46177
      0.00000      2.94000     12.11000   3     12.46177
      2.54611     -1.47000    -12.11000   3     12.46177
      2.54611     -1.47000     12.11000   3     12.46177
      2.54611      1.47000    -12.11000   3     12.46177
     -2.54611      1.47000     12.11000   3     12.46177
      2.54611      1.47000     12.11000   3     12.46177
     -2.54611     -1.47000     12.11000   3     12.46177
     -2.54611      1.47000    -12.11000   3     12.46177
     -2.54611     -1.47000    -12.11000   3     12.46177
      6.78964     -2.94000    -10.09167   2     12.51337
      6.78964     -2.94000     10.09167   2     12.51337
     -0.84870      7.35000    -10.09167   2     12.51337
     -0.84870      7.35000     10.09167   2     12.51337
      6.78964      2.94000    -10.09167   2     12.51337
      6.78964      2.94000     10.09167   2     12.51337
      6.78964     -8.82000     -6.05500   3     12.67102
      6.78964     -8.82000      6.05500   3     12.67102
     -1.69741      8.82000      9.08250   1     12.77362
     -1.69741      8.82000     -9.08250   1     12.77362
     -5.09223      8.82000     -8.07333   2     12.99623
     -5.09223      8.82000      8.07333   2     12.99623
      5.09223     -8.82000     -8.07333   2     12.99623
      5.09223     -8.82000      8.07333   2     12.99623
      5.94093     -7.35000     -9.08250   1     13.10759
      5.94093     -7.35000      9.08250   1     13.10759
     -2.54611     -4.41000     12.11000   3     13.13708
     -2.54611     -4.41000    -12.11000   3     13.13708
     -5.09223      0.00000     12.11000   3     13.13708
      2.54611     -4.41000    -12.11000   3     13.13708
      2.54611     -4.41000     12.11000   3     13.13708
     -5.09223      0.00000    -12.11000   3     13.13708
      2.54611      4.41000    -12.11000   3     13.13708
      2.54611      4.41000     12.11000   3     13.13708
     -2.54611      4.41000     12.11000   3     13.13708
      5.09223      0.00000    -12.11000   3     13.13708
      5.09223      0.00000     12.11000   3     13.13708
     -2.54611      4.41000    -12.11000   3     13.13708
      4.24352     -7.35000    -10.09167   2     13.18604
      4.24352     -7.35000     10.09167   2     13.18604
      0.00000     -5.88000    -12.11000   3     13.46204
      0.00000     -5.88000     12.11000   3     13.46204
     -5.09223     -2.94000    -12.11000   3     13.46204
      0.00000      5.88000    -12.11000   3     13.46204
      0.00000      5.88000     12.11000   3     13.46204
     -5.09223      2.94000     12.11000   3     13.46204
     -5.09223      2.94000    -12.11000   3     13.46204
     -5.09223     -2.94000     12.11000   3     13.46204
      5.09223     -2.94000    -12.11000   3     13.46204
      5.09223     -2.94000     12.11000   3     13.46204
      5.09223      2.94000    -12.11000   3     13.46204
      5.09223      2.94000     12.11000   3     13.46204
      6.78964     -5.88000    -10.09167   2     13.50982
      6.78964     -5.88000     10.09167   2     13.50982
     -3.39482      8.82000     10.09167   2     13.82602
     -3.39482      8.82000    -10.09167   2     13.82602
      1.69741      0.00000    -14.12833   2     14.22993
      1.69741      0.00000     14.12833   2     14.22993
     -0.84870      1.47000    -14.12833   2     14.22993
