natx =      980
    x       y        z       iph  
      7.08991      0.00000      5.02202   2      7.84066
     -2.83596      7.36800      1.67402   2      7.89494
     -4.96293      6.14000      1.67402   2      7.89495
      7.79889     -1.22800      1.67402   2      7.89497
      7.79889      1.22800      1.67402   2      7.89497
     -2.12697     -3.68400     -5.02197   1      7.93298
     -2.12697     -3.68400      8.37001   1      7.93298
     -2.12697      3.68400     -5.02197   1      7.93298
     -2.12697      3.68400      8.37001   1      7.93298
      2.12697     -3.68400     -5.02197   1      7.93298
      2.12697     -3.68400      8.37001   1      7.93298
      2.12697      3.68400     -5.02197   1      7.93298
      2.12697      3.68400      8.37001   1      7.93298
     -4.25394      0.00000      8.37001   1      7.93299
     -4.25394      0.00000     -5.02197   1      7.93299
      4.25394      0.00000     -5.02197   1      7.93299
      4.25394      0.00000      8.37001   1      7.93299
      0.00000     -7.36800     -1.67397   1      8.09298
      0.00000      7.36800     -1.67397   1      8.09298
      0.00000     -7.36800      5.02202   1      8.09300
      0.00000      7.36800      5.02202   1      8.09300
     -6.38091     -3.68400     -1.67397   1      8.09301
     -6.38091      3.68400     -1.67397   1      8.09301
      6.38091     -3.68400     -1.67397   1      8.09301
      6.38091      3.68400     -1.67397   1      8.09301
     -6.38091      3.68400      5.02202   1      8.09302
     -6.38091     -3.68400      5.02202   1      8.09302
      6.38091     -3.68400      5.02202   1      8.09302
      6.38091      3.68400      5.02202   1      8.09302
     -1.41797      7.36800     -1.67397   2      8.21627
     -1.41797      7.36800      5.02202   2      8.21628
     -5.67191      4.91200     -1.67397   2      8.21628
     -5.67191      4.91200      5.02202   2      8.21629
      7.08991     -2.45600     -1.67397   2      8.21631
      7.08991      2.45600     -1.67397   2      8.21631
      7.08991     -2.45600      5.02202   2      8.21632
      7.08991      2.45600      5.02202   2      8.21632
      0.00000     -4.91200     -5.02197   1      8.30446
      0.00000     -4.91200      8.37001   1      8.30446
      0.00000      4.91200     -5.02197   1      8.30446
      0.00000      4.91200      8.37001   1      8.30446
     -4.25394      2.45600      8.37001   1      8.30447
     -4.25394     -2.45600     -5.02197   1      8.30447
     -4.25394     -2.45600      8.37001   1      8.30447
     -4.25394      2.45600     -5.02197   1      8.30447
      4.25394     -2.45600     -5.02197   1      8.30447
      4.25394     -2.45600      8.37001   1      8.30447
      4.25394      2.45600     -5.02197   1      8.30447
      4.25394      2.45600      8.37001   1      8.30447
      1.41798     -4.91200     -5.02197   2      8.42465
      1.41798     -4.91200      8.37001   2      8.42465
      1.41798      4.91200     -5.02197   2      8.42465
      1.41798      4.91200      8.37001   2      8.42465
      3.54495     -3.68400     -5.02197   2      8.42465
      3.54495     -3.68400      8.37001   2      8.42465
      3.54495      3.68400     -5.02197   2      8.42465
      3.54495      3.68400      8.37001   2      8.42465
     -4.96293      1.22800     -5.02197   2      8.42466
     -4.96293      1.22800      8.37001   2      8.42466
     -4.96293     -1.22800      8.37001   2      8.42466
     -4.96293     -1.22800     -5.02197   2      8.42466
     -4.25394      7.36800      1.67402   1      8.50784
      4.25394     -7.36800      1.67402   1      8.50784
      2.83597     -7.36800     -1.67397   2      8.57549
      2.83597      7.36800     -1.67397   2      8.57550
      2.83597     -7.36800      5.02202   2      8.57550
      4.96294     -6.14000     -1.67397   2      8.57551
      2.83597      7.36800      5.02202   2      8.57551
      4.96294      6.14000     -1.67397   2      8.57551
      4.96294     -6.14000      5.02202   2      8.57552
      4.96294      6.14000      5.02202   2      8.57552
     -0.70899      8.59600      1.67402   2      8.62519
      7.79889     -3.68400      1.67402   2      8.62522
      7.79889      3.68400      1.67402   2      8.62522
     -2.83596      4.91200      8.37001   2      8.77535
     -2.83596      4.91200     -5.02197   2      8.77535
     -2.83596     -4.91200     -5.02197   2      8.77535
     -2.83596     -4.91200      8.37001   2      8.77535
      5.67192      0.00000     -5.02197   2      8.77536
      5.67192      0.00000      8.37001   2      8.77536
     -2.12697      8.59600      1.67402   1      8.85524
      2.12697     -8.59600      1.67402   1      8.85524
      6.38091     -6.14000      1.67402   1      8.85526
     -6.38091      6.14000      1.67402   1      8.85526
     -0.70899      6.14000     -5.02197   2      9.11255
     -0.70899      6.14000      8.37001   2      9.11255
     -0.70899     -6.14000     -5.02197   2      9.11255
     -0.70899     -6.14000      8.37001   2      9.11255
     -4.96293     -3.68400     -5.02197   2      9.11256
     -4.96293     -3.68400      8.37001   2      9.11256
     -4.96293      3.68400      8.37001   2      9.11256
     -4.96293      3.68400     -5.02197   2      9.11256
      5.67192     -2.45600     -5.02197   2      9.11257
      5.67192     -2.45600      8.37001   2      9.11257
      5.67192      2.45600     -5.02197   2      9.11257
      5.67192      2.45600      8.37001   2      9.11257
     -4.25394      7.36800     -1.67397   1      9.14289
      4.25394     -7.36800     -1.67397   1      9.14289
     -4.25394      7.36800      5.02202   1      9.14290
      4.25394     -7.36800      5.02202   1      9.14290
      0.70900      8.59600     -1.67397   2      9.25219
      0.70900      8.59600      5.02202   2      9.25220
      7.08991     -4.91200     -1.67397   2      9.25222
      7.08991      4.91200     -1.67397   2      9.25222
      7.08991     -4.91200      5.02202   2      9.25223
      7.08991      4.91200      5.02202   2      9.25223
      3.54495     -8.59600      1.67402   2      9.29827
      5.67192     -7.36800      1.67402   2      9.29828
     -2.12697      6.14000     -5.02197   1      9.33059
     -2.12697      6.14000      8.37001   1      9.33059
      2.12697     -6.14000     -5.02197   1      9.33059
      2.12697     -6.14000      8.37001   1      9.33059
     -2.12697     -6.14000     -5.02197   1      9.33059
     -2.12697     -6.14000      8.37001   1      9.33059
      2.12697      6.14000     -5.02197   1      9.33059
      2.12697      6.14000      8.37001   1      9.33059
     -4.25394     -4.91200     -5.02197   1      9.33060
      4.25394     -4.91200     -5.02197   1      9.33060
     -4.25394     -4.91200      8.37001   1      9.33060
      4.25394     -4.91200      8.37001   1      9.33060
     -4.25394      4.91200      8.37001   1      9.33060
      4.25394      4.91200     -5.02197   1      9.33060
      4.25394      4.91200      8.37001   1      9.33060
     -4.25394      4.91200     -5.02197   1      9.33060
     -6.38091      1.22800      8.37001   1      9.33061
     -6.38091     -1.22800      8.37001   1      9.33061
     -6.38091     -1.22800     -5.02197   1      9.33061
     -6.38091      1.22800     -5.02197   1      9.33061
      6.38091     -1.22800     -5.02197   1      9.33061
      6.38091     -1.22800      8.37001   1      9.33061
      6.38091      1.22800     -5.02197   1      9.33061
      6.38091      1.22800      8.37001   1      9.33061
     -2.12697      8.59600     -1.67397   1      9.46701
      2.12697     -8.59600     -1.67397   1      9.46701
     -2.12697      8.59600      5.02202   1      9.46702
      2.12697     -8.59600      5.02202   1      9.46702
     -6.38091      6.14000     -1.67397   1      9.46703
      6.38091     -6.14000     -1.67397   1      9.46703
     -6.38091      6.14000      5.02202   1      9.46704
      6.38091     -6.14000      5.02202   1      9.46704
      3.54495     -6.14000     -5.02197   2      9.75205
      3.54495     -6.14000      8.37001   2      9.75205
      3.54495      6.14000     -5.02197   2      9.75205
      3.54495      6.14000      8.37001   2      9.75205
     -3.54494      8.59600     -1.67397   2      9.88265
     -5.67191      7.36800     -1.67397   2      9.88266
     -3.54494      8.59600      5.02202   2      9.88266
     -5.67191      7.36800      5.02202   2      9.88267
     -4.96293      8.59600      1.67402   2      9.92582
      7.79889     -6.14000      1.67402   2      9.92584
      0.00000     -7.36800     -5.02197   1      9.95609
      0.00000     -7.36800      8.37001   1      9.95609
      0.00000      7.36800     -5.02197   1      9.95609
      0.00000      7.36800      8.37001   1      9.95609
     -6.38091     -3.68400      8.37001   1      9.95611
     -6.38091     -3.68400     -5.02197   1      9.95611
     -6.38091      3.68400     -5.02197   1      9.95611
     -6.38091      3.68400      8.37001   1      9.95611
      6.38091     -3.68400     -5.02197   1      9.95611
      6.38091     -3.68400      8.37001   1      9.95611
      6.38091      3.68400     -5.02197   1      9.95611
      6.38091      3.68400      8.37001   1      9.95611
      0.00000      0.00000     -8.36995   1     10.04397
      0.00000      0.00000     11.71801   1     10.04400
      1.41798     -7.36800     -5.02197   2     10.05656
      1.41798     -7.36800      8.37001   2     10.05656
      1.41798      7.36800     -5.02197   2     10.05656
      1.41798      7.36800      8.37001   2     10.05656
      5.67192     -4.91200     -5.02197   2     10.05657
      5.67192     -4.91200      8.37001   2     10.05657
      5.67192      4.91200     -5.02197   2     10.05657
      5.67192      4.91200      8.37001   2     10.05657
     -1.41797      0.00000     -8.36995   2     10.14357
      0.70900     -1.22800     -8.36995   2     10.14357
      0.70900      1.22800     -8.36995   2     10.14357
     -1.41797      0.00000     11.71801   2     10.14359
      0.70900     -1.22800     11.71801   2     10.14360
      0.70900      1.22800     11.71801   2     10.14360
     -2.83596      9.82400      1.67402   2     10.22515
      0.00000     -2.45600     -8.36995   1     10.33989
      0.00000      2.45600     -8.36995   1     10.33989
      2.12697     -1.22800     -8.36995   1     10.33989
      2.12697      1.22800     -8.36995   1     10.33989
     -2.12697      1.22800     -8.36995   1     10.33989
     -2.12697     -1.22800     -8.36995   1     10.33989
      0.00000     -2.45600     11.71801   1     10.33991
      0.00000      2.45600     11.71801   1     10.33991
     -2.12697     -1.22800     11.71801   1     10.33992
      2.12697     -1.22800     11.71801   1     10.33992
      2.12697      1.22800     11.71801   1     10.33992
     -2.12697      1.22800     11.71801   1     10.33992
     -2.83596      7.36800     -5.02197   2     10.35212
     -2.83596      7.36800      8.37001   2     10.35212
     -4.96293      6.14000     -5.02197   2     10.35213
     -4.96293      6.14000      8.37001   2     10.35213
      7.79889     -1.22800     -5.02197   2     10.35214
      7.79889     -1.22800      8.37001   2     10.35214
      7.79889      1.22800     -5.02197   2     10.35214
      7.79889      1.22800      8.37001   2     10.35214
     -1.41797     -2.45600     -8.36995   2     10.43666
     -1.41797      2.45600     -8.36995   2     10.43666
      2.83597      0.00000     -8.36995   2     10.43667
     -1.41797     -2.45600     11.71801   2     10.43669
     -1.41797      2.45600     11.71801   2     10.43669
      2.83597      0.00000     11.71801   2     10.43670
